Monterrey, N.L. 81 
Distrito Federal 55 
Guadalajara,Jal. 33 
Puebla,Pue. 222 
Queretaro,Qro. 442 
Abadiano (Los Bajos),Mich. 353 
Abasolo del Valle,Ver. 283 
Abasolo,Coah. 866 
Abasolo,Dgo. 677 
Abasolo,Gto. 429 
Abasolo,Tamps. 835 
Abejones,Oax. 951 
Abraham Gonzalez,Chih. 659 
Acacoyagua,Chis. 918 
Acajete,Ver. 228 
Acalpican de Morelos,Mich. 753 
Acambaro,Gto. 417 
Acambay,Mex. 718 
Acamilpa,Mor. 734 
Acamixtla,Gro. 762 
Acanceh,Yuc. 988 
Acapetahua,Chis. 918 
Acapetlahuaya,Gro. 736 
Acaponeta,Nay. 325 
Acapulco,Gro. 744 
Acatempan,Gro. 736 
Acatepec,Gro. 741 
Acatic,Jal. 378 
Acatlan de Juarez,Jal. 387 
Acatlan de Osorio,Pue. 953 
Acatlan de Perez Figueroa,Oax. 274 
Acatlan,Hgo. 775 
Acatlan,Ver. 279 
Acatzingo,Pue. 249 
Acaxochitlan,Hgo. 776 
Acaxtlahuacan de Albino Zertuche,Pue. 275 
Acayuca,Hgo. 743 
Acayucan,Ver. 924 
Aconchi,Son. 623 
Acopinalco del Penon,Tlax. 241 
Actopan,Hgo. 772 
Actopan,Ver. 279 
Acuchillan del Progreso,Gro. 732 
Acuitzeramo,Mich. 471 
Acuitzio del Canje,Mich. 434 
Acula,Ver. 288 
Aculco,Mex. 718 
Acultzingo,Ver. 272 
Achotal,Ver. 924 
Adjuntas del Rio (Las Adjuntas),Gto. 418 
Adolfo Lopez Mateos (Chamal Nuevo),Tamps 832 
Adolfo Lopez Mateos (El Jahuara ),Sin. 698 
Adolfo Ruiz Continez (Capricho),Mich. 355 
Adolfo Ruiz Cortines,Sin. 687 
Adolfo Ruiz Cortines,Ver. 784 
Aeropuertos,N.L. 81 
Agostitlan,Mich. 786 
Agua Blanca Iturbide,Hgo. 774 
Agua Blanca,Son. 643 
Agua Buena,S.L.P. 482 
Agua Caliente (Ojo de Agua),Mich. 454 
Agua Caliente de Garate,Sin. 694 
Agua Caliente,Gto. 417 
Agua Caliente,Jal. 377 
Agua del Espino,Oax. 951 
Agua Dulce Papantla,Ver. 784 
Agua Dulce,Ver. 923 
Agua Prieta,Son. 633 
Agua Senora,S.L.P. 444 
Agua Verde,Sin. 694 
Agua Zarca,Qro. 441 
Aguacatitlan,Pue. 275 
Agualeguas,N.L. 892 
Aguas Buenas,Gto. 472 
Aguascalientes,Ags. 449 
Aguilera,Ver. 924 
Aguililla,Mich. 426 
Agustin de Iturbide,Chis. 962 
Ahome,Sin. 668 
Ahuacapan,Jal. 317 
Ahuacatitlan Centro,Mex. 718 
Ahuacatlan de Guadalupe,Qro. 441 
Ahuacatlan,Nay. 324 
Ahuacatlan,Pue. 764 
Ahuacuotzingo,Gro. 756 
Ahualulco,Jal. 386 
Ahualulco,S.L.P. 444 
Ahuatlan,Pue. 243 
Ahuazotepec,Pue. 776 
Ahuehuepan,Gro. 733 
